"UniProt_Entry","log2FC_CARe_vs_PARe","adj_p_value_CARe_vs_PARe"
"Q6C0U9",-0.103025155619061,0.70286974338631
"Q6C0V2",0.295086437878524,0.267268245926332
"F2Z694",-0.76744847173251,0.0737640012765417
"F2Z5Z3",-0.0670405692228592,0.50312523481732
"Q6CC11",0.0454066937342239,0.775250237576573
"Q6C3Z9",0.0489449575931008,0.867720463671554
"F2Z630",0.27284536534974,0.770622273129146
"Q9UVF3",-0.186300551309433,0.309125747714673
"Q99148",0.174934340524124,0.317908205023214
"F2Z678",0.495079571643945,0.252211080411008
"Q6CH03",0.218724536511934,0.478867043968801
"Q6CG57",0.342553131961705,0.463739615273307
"Q6C0A1",-0.17835544390047,0.280685646898526
"Q6C0R5",0.110383613904604,0.738882167774296
"Q6C188",-0.698177351029235,0.247091792453386
"Q6C749",-0.158861367056301,0.177025743019586
"Q6CFD4",-0.439720031262858,0.219130878609241
"Q6C8T3",0.22384370372462,0.250719808238439
"Q6C520",-0.229301204273537,0.322930934591762
"Q6CFS9",-0.0474186411987993,0.607965743667629
"Q6CEA5",-0.531898061374665,0.322930934591762
"Q6C9T3",-0.160433618993229,0.628590488930888
"Q6CF02",-0.352476295299826,0.500004754937687
"Q6C3V7",-0.242371343419487,0.164486200822657
"Q6C4K6",0.871795341713932,0.181225355627043
"F2Z6J3",-0.167168521036817,0.723467878005092
"F2Z6H3",-0.107710129743522,0.793762882424644
"Q6CG88",-0.0111994540343389,0.956124425924546
"Q6CD41",-0.00919184657971153,0.96415184907602
"Q6CA53",0.0335920382532479,0.937289066301215
"Q6CEE1",-0.256126175802541,0.257280417777676
"Q6C846",0.135827230591685,0.428363350433175
"Q6C1X5",-0.00739433011284764,0.959272830033209
"Q6C061",0.0707250096510075,0.679676463695172
"Q6C982",-0.0901732155941787,0.712439421009567
"Q6CCY2",0.18651757698071,0.341288010002556
"Q6CI62",0.381493662325924,0.16467452249033
"Q6CFR0",-0.146668833640518,0.550780540076443
"Q6C6M0",-0.421317956115602,0.519310811209466
"Q6C8M8",-0.56438239480093,0.111349474968057
"Q6CBS9",-0.098529907637883,0.896380660544256
"Q6C4Q9",-0.549320461851667,0.127941602695276
"Q6CH28",-0.366397095423245,0.336301251732164
"Q6C794",-0.266160284188725,0.680111454450586
"Q6C6N0",-0.113871788693066,0.527359565766815
"Q6C326",-0.0700197340067524,0.250839646956266
"Q6C9E6",0.223257650428502,0.717174674027033
"Q6C8S0",0.0987075539810278,0.736541244026114
"B5FVB3",-0.155987979492376,0.255695590975338
"Q6CFT7",-0.0429761878628826,0.70412701626402
"B5FVB8",0.141301928990133,0.658907654528187
"Q6C253",0.162626515575169,0.629328971351121
"Q6C7D6",0.10603634705945,0.594058852201033
"Q6C338",-0.0776074322376688,0.493868059348944
"Q6C105",-0.123955733263371,0.537321861304679
"Q6C9B1",-0.105229626715921,0.330461496343633
"Q36258",-0.183809194637016,0.49080390013361
"Q6CFH9",0.143616194921639,0.637289047678687
"Q6CAZ7",-0.0200373569599828,0.885890184164952
"Q6CB07",-0.215670432885828,0.673991388665351
"Q6CFZ3",-0.0691481093898888,0.732656916608661
"Q6C379",0.0360411462614468,0.891539759934636
"Q6CDC8",-0.143163452365307,0.572444041970978
"Q6CAV3",-0.172883676425621,0.271987514211294
"Q6CAT8",0.0428010256039045,0.802556364930152
"Q6C806",0.682758288192849,0.226790508683761
"Q6C5R9",-0.348356116112305,0.263290331771533
"Q6CFX8",0.156696542723753,0.885395255362295
"Q6C4G2",-0.275881901521148,0.448483344850513
"Q6C3Q8",-0.544716502513041,0.17305542399164
"Q6BZR7",-0.253398629450735,0.500159931039651
"Q6CEL5",-0.242460136842075,0.310867551071575
"Q6CEL1",-0.171543858755836,0.297611284396424
"Q6CEK5",-0.618651370698713,0.257477379870605
"Q6C9G1",0.21931691983751,0.637022791499109
"A0A371BZZ3",-0.202870196037529,0.441749403670016
"Q6C0P0",-0.200772109876475,0.419707088622701
"Q6C2S5",0.123146176581515,0.319280446182451
"Q6CI80",1.12023554493543,0.118634950479757
"Q6C5A7",-0.420367436239578,0.665478075072673
"Q6C5A6",0.00365536455339593,0.979728909085301
"Q6C0A6",-0.0787727696375568,0.499627288471985
"Q6C012",-0.217669370133175,0.389138777592005
"Q6CHF4",0.203408281221268,0.407547851336939
"Q6C6B0",-0.162018560951831,0.724894005593141
"Q6C8C3",-0.181872794671514,0.408354167364594
"Q6C5B8",0.109572771932926,0.831155572946633
"Q6CH57",-0.00373568981653995,0.979094108291667
"A0A371BYB7",0.402071536689684,0.302689365838087
"Q6CFW7",0.333746261733083,0.189041349720978
"Q6C199",-0.447638195247672,0.172868098178083
"Q6CBW3",0.0630166606620385,0.896135719344482
"Q6C800",-1.43184508898011,0.0990583216626408
"Q6C272",0.0788336793328958,0.670546023340787
"Q6C6W0",-0.262414554805148,0.852975633934178
"Q6CG45",0.00982267920201791,0.986980544237424
"Q6C0V4",0.992545617339477,0.106571374035249
"Q6CG49",-0.130010662568438,0.720453788674989
"Q6CC54",-0.0189950126659268,0.842595869364346
"Q6C390",-0.0745504111061792,0.500004754937687
"Q6C365",-0.911582629299295,0.0864567966176534
"Q6C2Y0",-0.937103586654492,0.270366715383475
"Q6C7I9",-0.0589187669300632,0.693750072708856
"Q6C7D4",0.119194506029701,0.438273109123755
"Q6C7B6",0.31374679879318,0.542151883358282
"Q6C1P3",-0.214537875479484,0.352538656792807
"Q6BZV7",-0.0552109767775304,0.878772624436743
"Q6BZT6",0.0279683374422576,0.931233812520706
"A0A1H6PTQ1",-0.281129775219621,0.257280417777676
"Q6CF51",-0.577866765634872,0.221849611847055
"Q6CC80",-0.441964554826915,0.476341993444119
"Q6CFB0",0.213175834332702,0.511265094648806
"Q6CF68",0.0131303054449038,0.96415184907602
"Q6CEE0",0.934574600524163,0.314280585830569
"Q6CEE2",-0.00338273062677299,0.978327853659897
"Q6CEJ8",0.234880059728546,0.255695590975338
"Q6C0W6",0.129115527591073,0.499217827388735
"Q6C0R6",-0.0717454323115533,0.879522891130696
"Q6C573",0.1049890596208,0.546334975790126
"Q6C538",0.274570437912441,0.322930934591762
"Q6CGI3",-0.324868197603336,0.152544998743645
"Q6CGI7",-0.27104201911951,0.231675471893948
"Q6C5I9",-0.347185260687326,0.266983148784708
"Q6C5M6",0.219387317872486,0.263290331771533
"Q6C6U0",0.115868812465012,0.226602743304831
"A0A1D8NLC3",-0.536357256110877,0.0929024174629009
"Q6C3I4",-0.30383356957786,0.341102415035994
"A0A371CAY6",-0.228921343090863,0.419707088622701
"Q6CFQ6",0.249745014273293,0.756399811316639
"Q6CAB1",-1.17900286758568,0.652735082361557
"Q6CI00",-0.567796891144327,0.257280417777676
"Q6C2U5",-0.246234413470117,0.652088181349299
"Q6C828",-0.131199632361151,0.554540212833107
"Q6CB64",-0.232763876850558,0.389734225299664
"Q6C4L8",-0.0735567500938389,0.904030308433902
"Q6C4K8",-0.196014151960253,0.753191914162141
"Q6CFN9",-0.413353900531868,0.257485659671062
"Q6CES8",0.339964284211545,0.578086123100374
"Q6CE13",-1.57493928338376,0.37302251362067
"Q6C290",-0.0729750998373448,0.86568411382988
"Q6C278",-0.0297840164589169,0.896919572259246
"Q6C9W4",-0.0987814348759632,0.555131841438128
"Q6C0E7",0.0936727107086196,0.475009933677215
"Q6CG05",-0.207662985826371,0.0625041895392184
"Q6CAF5",0.746196150446191,0.219801118489676
"Q6CAH4",-0.0240567883911711,0.887611400508892
"Q6C9V4",-1.7282812484547,0.664362148043002
"Q6C454",-0.225797201436023,0.329717195697455
"A0A371C630",-0.0315410062449485,0.900172246012961
"Q6C4N3",-0.0851159850219791,0.898486429295199
"Q6C4W9",0.128422390102991,0.770622273129146
"Q6CBW8",-0.0104622154110626,0.940934687732873
"Q6C1F2",-0.118221598866616,0.742475013464492
"Q6C3C5",-0.355974262191946,0.153055359851943
"A0A1D8NPE3",-0.00401215677446921,0.986339123218611
"Q6C184",-0.517601587046092,0.123234297746857
"Q6C9A4",-0.150073948719479,0.591223920953171
"Q6C178",0.218257684767026,0.81871865155881
"Q6CD23",0.382708487020796,0.226602743304831
"Q6CE89",-0.152495359488345,0.446114792747997
"Q6CAZ9",-0.395968518982327,0.163473942974307
"Q6CE52",-0.384155362652163,0.629741366767997
"Q6C1S4",0.0994679544120118,0.537321861304679
"Q6C3S2",-0.141683305738362,0.29780079321718
"Q6C3S3",-0.299991329631694,0.628590488930888
"Q6C8T5",-0.119116118825636,0.713822344879912
"Q6C8N1",0.215417357147009,0.24475687504365
"A0A1H6PXF8",0.0640342012941613,0.799955088758548
"Q6CCS2",-0.28350274448482,0.238259068479942
"Q6CAT7",0.0140642329835258,0.857280875743713
"Q6CE73",-0.406936554693253,0.319280446182451
"A0A371C207",-0.486814037810139,0.264678040785309
"Q6CAE0",0.0817126596682973,0.727496816657226
"Q6CAD4",-0.0340812601258966,0.817264941943024
"Q6C8A0",0.103481537679129,0.455643681925801
"A0A371C1F1",-0.133425117863547,0.627875979256583
"Q6CBN7",-0.430643594897422,0.576974950911003
"Q6CA33",-0.0285062936297131,0.804006223690796
"Q6CH27",-0.103045801268256,0.349768950511758
"Q6CHF1",-0.216447306510671,0.322930934591762
"Q6C9L7",0.132507612567857,0.677066862492899
"Q6C5H0",-0.250430557352351,0.223132919632713
"Q6C7R1",-0.234622109819705,0.537321861304679
"Q6CH20",-0.298415223978779,0.254816979716834
"Q6CCA9",0.00512994041831926,0.984567869647177
"Q6CDD4",-0.00815666805604505,0.979147983586044
"Q6C6X2",0.0215682705096297,0.921163808990885
"A0A1D8NGA9",-0.575329188629057,0.55550897772173
"Q6C1M0",-0.767962172593558,0.193073679547605
"Q6CH64",0.348378091222056,0.52423604206429
"A0A1D8NGH8",0.0109214839778524,0.940934687732873
"Q6C395",0.173783870516855,0.605408110349777
"Q6C388",-0.495573718362729,0.280685646898526
"Q6C387",0.0244645726018069,0.885885782379494
"Q6C386",-0.209761487884291,0.257280417777676
"Q6C385",-0.174402397376535,0.316620400699707
"Q6C384",-0.473413685732238,0.297874406603496
"Q6C383",-0.398297234949983,0.325539108340916
"Q6C381",-0.380393337309551,0.324789630983413
"Q6C380",-0.0620361671571427,0.556055972818899
"Q6C376",0.561610176804359,0.269245384570756
"Q6C375",-1.03858752900362,0.184059358326744
"B5RSK5",-0.201351577201686,0.807630824430146
"Q6C374",0.417671015096923,0.220332387134847
"Q6C372",-0.0890932295054413,0.522006160254809
"Q6C368",-0.18091117673707,0.319122286337829
"Q6C366",-0.152026291788303,0.841477851479431
"A0A1D8NLN1",-0.0570115378610868,0.766929025454811
"Q6C360",0.195140067307456,0.562369739711199
"Q6C357",-0.0777372695022363,0.835767994127861
"Q6C356",0.0191133607697733,0.927076856571272
"Q6C355",-0.174039229394896,0.164315632483337
"Q6C350",0.0915242485994662,0.537321861304679
"A0A1D8NLR7",-0.122562405508366,0.667625540215924
"Q6C343",-0.212398687630909,0.482453199653527
"Q6C342",0.304998357247206,0.128447665206113
"Q6C339",-0.0196989641152277,0.876291163084983
"Q6C340",-0.0407228394272348,0.817264941943024
"Q6C337",-0.23884513555411,0.372400382933906
"Q6C336",-0.144485214554684,0.43625995082359
"Q6C334",-0.11048335498209,0.81409643244521
"Q6C332",-0.04161138738554,0.939366560427588
"Q6C330",-0.134498877076417,0.568750282124171
"Q6C327",0.558060389565116,0.241747542522541
"Q6C325",0.0198076204288166,0.857121856532065
"A0A1H6PMJ2",-0.194254067057814,0.476341993444119
"Q6C321",0.12098286810919,0.543216415758269
"Q6C319",-0.472463639152855,0.377006032745006
"Q6C317",0.32947733586222,0.259411977301523
"Q6C2Z4",-0.0416072559098331,0.824594446489342
"Q6C2Z1",0.306300511469045,0.263290331771533
