"UniProt_Entry","log2FC_OBEn_vs_PARn","adj_p_value_OBEn_vs_PARn"
"Q6C0U9",0.384034819145663,0.192914351355125
"Q6C0V2",0.213670651460956,0.297843664937282
"F2Z694",-0.292704297471875,0.604152027947637
"F2Z5Z3",-0.661701548727495,0.147478370696652
"Q6CC11",-0.0793146066622677,0.558543849304205
"Q6C3Z9",-0.0843342389915531,0.673656890626996
"Q9UVF3",-0.691305481880138,0.102697206547164
"Q99148",-0.0593092964891044,0.634850788713495
"F2Z678",0.560889864712751,0.121221140252093
"Q6CG57",0.334097212023658,0.567425954476144
"Q6C0A1",0.223111429085621,0.400734193144385
"Q6C0R5",-0.766853120098943,0.119154737143946
"Q6C749",-0.236676785299748,0.307317535724075
"Q6CFD4",-0.629094006022772,0.1009407672163
"Q6C8T3",-0.318123627509719,0.237565631851426
"Q6C520",0.0433952488676896,0.907764298091413
"Q6CFS9",-0.135832867360496,0.211037336678129
"Q6CEA5",-0.769617251476081,0.414592701333641
"Q6C9T3",-0.587573381116508,0.321408174283731
"Q6C3V7",-0.03122701701675,0.950264501864414
"F2Z6J3",0.866422341779144,0.218634612834653
"Q6CD41",-0.405949087746122,0.210339858626355
"Q6CA53",-0.675023453032403,0.155699552158181
"Q6CEE1",-0.487814304468924,0.145412321937547
"Q6C846",-0.0194450619739552,0.894252701696927
"Q6C1X5",0.0123644314756234,0.943137221756869
"Q6C061",0.214835486500987,0.29241540731662
"Q6C982",-0.717987866263709,0.297843664937282
"Q6CCY2",-0.218314799795613,0.173419394522778
"Q6CI62",-0.466566009075277,0.35666240741909
"Q6CFR0",-0.496718383964146,0.128115428144181
"Q6C315",-0.32266630499715,0.542239156383387
"Q6C2N7",-0.0763386035577195,0.850681334187519
"Q6C044",-0.084760194177611,0.715793898630434
"Q6C6M0",-0.354651489656395,0.487068431530158
"Q6CD56",-0.466456425956062,0.272620055176231
"Q6C8M8",-0.30960034586234,0.122863507892098
"Q6CBS9",-0.755233677577477,0.278057432902754
"Q6C4Q9",0.667050025029352,0.0823203370442389
"Q6CH28",-0.219697494707703,0.35844162521197
"Q6CBC3",-0.378106452466361,0.269880319046359
"Q6C794",-0.567710681117362,0.113887013440443
"Q6C6N0",-0.751267014480782,0.0525176777601406
"Q6C326",-0.484972202065656,0.149860992853588
"Q6C9E6",-0.279097503893104,0.214888816731554
"Q6C8S0",0.0796837749986286,0.860365453850233
"B5FVB3",-0.0998434034815954,0.615436405823422
"Q6CFT7",-0.0431264160985403,0.755185433222051
"B5FVB8",-0.245177829496605,0.742672786463862
"Q6C7D6",-0.324208409256247,0.621854911797339
"Q6C338",0.0460449906079781,0.381994332650442
"Q6C105",-0.523456448385484,0.137304405515339
"Q6C9B1",-0.322740112852354,0.165900223218763
"Q36258",-0.505167893178801,0.360635636606272
"Q6CFH9",0.174021932729141,0.721300773802636
"Q92389",-1.04653734437879,0.103259842790994
"Q6CAZ7",-0.642459626058938,0.0758200860082864
"Q6CFZ3",-0.186276000742666,0.324202965135404
"Q6CDC8",-0.532044205725226,0.267294056096508
"Q6CAV3",-0.69612265970038,0.167030018136133
"Q6CAT8",0.0511584298046718,0.918974855264755
"Q6C806",0.285705335570494,0.448608797746569
"Q6C5R9",0.401974799109576,0.134939738576043
