"UniProt_Entry","log2FC_CARn_vs_PARn","adj_p_value_CARn_vs_PARn"
"Q6C0U9",0.101785334606474,0.915486346715158
"Q6C0V2",0.10439413124037,0.915486346715158
"F2Z694",-0.325490999437091,0.867199910654737
"F2Z5Z3",-0.155950520767608,0.868002834263117
"Q6CC11",-0.019564805799654,0.974568617461057
"Q6C3Z9",-0.0692861999106687,0.925820656058346
"F2Z630",0.156268937096275,0.925820656058346
"Q9UVF3",-0.149805154970611,0.864702168666884
"Q99148",-0.0610188171298973,0.876989619196969
"F2Z678",0.235984693982532,0.688598688505331
"Q6CG57",-0.0578013108805536,0.981541862385284
"Q6C0A1",0.0625309382562144,0.947057117723616
"Q6C0R5",-0.432109350969292,0.806719222939005
"Q6C749",-0.181134964387697,0.864702168666884
"Q6CFD4",-0.318278493712275,0.867199910654737
"Q6C8T3",-0.344476419843102,0.806719222939005
"Q6C520",0.131027768974385,0.864702168666884
"Q6CFS9",0.0595516628960888,0.842207928773726
"Q6CEA5",0.0337507129734529,0.97644579812912
"Q6C9T3",-0.388033146035294,0.867199910654737
"Q6C3V7",-0.118472818700591,0.947022601294731
"F2Z6J3",-0.429743475944903,0.879962115579686
"Q6CG88",-0.170955283580749,0.913007102336947
"Q6CD41",0.00283884306143667,0.994026313296164
"Q6CA53",-0.0429867746385268,0.968213019859876
"Q6CEE1",-0.130243784364652,0.876989619196969
"Q6C846",-0.0765985545814737,0.867199910654737
"Q6C1X5",0.0401798143869513,0.864702168666884
"Q6C061",-0.0471502727841899,0.947799731821504
"Q6C982",-0.0280996914503856,0.983257704601691
"Q6CCY2",-0.129434761996212,0.806719222939005
"Q6CI62",-0.222779027015036,0.864702168666884
"Q6CFR0",-0.105132318493885,0.886753060794183
"Q6C315",-0.0871654387872131,0.968213019859876
"Q6C2N7",-0.0602658519131486,0.968213019859876
"Q6C044",-0.0238184081836441,0.985933282974025
"Q6C6M0",0.249546028757325,0.909864608911595
"Q6CD56",0.0972654497887981,0.940609191467813
"Q6C8M8",-0.332476257921368,0.787919405133644
"Q6CBS9",-0.565348039315249,0.864702168666884
"Q6C4Q9",0.143836423904974,0.886753060794183
"Q6CH28",-0.0961499694094387,0.940609191467813
"Q6C4Q6",-0.518274712983076,0.882502066764908
"Q6CBC3",-0.0738904531041988,0.940609191467813
"Q6C794",-0.102231317236751,0.868002834263117
"Q6C2F5",-0.0216432416396744,0.992622885990501
"Q6C6N0",-0.183678861693125,0.864702168666884
"Q6C326",-0.0290561974826283,0.968213019859876
"Q6C9E6",0.10015534143587,0.867199910654737
"Q6C8S0",-0.107543626281507,0.867199910654737
"B5FVB3",-0.0728272683105253,0.937204262486493
"Q6CFT7",0.120903371025947,0.867199910654737
"B5FVB8",-0.229507573175703,0.940609191467813
"Q6C7D6",0.163704483022986,0.9137238226347
"Q6C338",0.06973294825554,0.716706292816822
"Q6C105",-0.115693862395218,0.867199910654737
"Q6C9B1",0.00552966000416877,0.988551337503638
"Q36258",-0.227125801127344,0.867199910654737
"Q6CFH9",0.0748049748359706,0.968213019859876
"Q92389",-0.306190922009763,0.820888902311329
"Q6CAZ7",-0.0405169324200899,0.911554699108282
"Q6CB07",-0.729751133606223,0.864702168666884
"Q6CFZ3",-0.126668713505845,0.894338486890498
"Q6CDC8",-0.42331053084594,0.716706292816822
"Q6CAV3",-0.285592414701552,0.820888902311329
"Q6CAT8",-0.188402688810628,0.925820656058346
"Q6C806",0.0090013617553232,0.991649173156167
"Q6C5R9",-0.0499864222880693,0.940715235891271
"Q6CFX8",-0.464915206934319,0.864702168666884
"Q6C4G2",-0.294939657965673,0.864702168666884
"Q6C3Q8",0.232334272391585,0.909864608911595
"Q6CEL5",0.0454668128284805,0.968213019859876
"Q6CEL1",0.222134942190454,0.806719222939005
"Q6CEK5",0.0492770118153258,0.980963330021423
"Q6C9G1",0.464745775676329,0.867199910654737
"A0A371BZZ3",0.0846329914247725,0.878046577549926
"Q6C0P0",-0.145988002241781,0.864702168666884
"Q6C2S5",0.0911107024008681,0.914351045649635
"Q6CI80",0.031127201487605,0.940715235891271
"Q6C5A6",-0.0666757677307838,0.864702168666884
"Q6C0A6",-0.158050193929716,0.820888902311329
"Q6C012",0.157831000152602,0.867199910654737
"Q6C6B0",-0.0871100903373941,0.978802457043153
"Q6C8C3",0.0774013118568261,0.933427885411345
"Q6C5B8",-0.46774336887305,0.876989619196969
"Q6C111",0.591927387408951,0.806719222939005
"Q6CH57",0.272130272994194,0.876989619196969
"Q6CFW7",0.381292774404139,0.876989619196969
"Q6C199",-0.0445694318868852,0.885704596231497
"Q6C800",-0.409316735766404,0.806719222939005
"Q6C272",-0.0820940235974087,0.877008959411253
"Q6C6W0",-0.0399440772781266,0.985933282974025
"Q6CG45",-0.212273226537452,0.866530257026328
"Q6C0V4",-0.662079423814572,0.806719222939005
"Q6CG49",0.0524472474465208,0.867199910654737
"Q6CC54",0.191553954848092,0.864702168666884
"Q6C390",0.0139630515035032,0.979483092971223
"Q6C365",-0.0704874187567432,0.94814445090797
"Q6C2Y0",0.351530412425102,0.864702168666884
"Q6C7I9",-0.200075758098476,0.864702168666884
"Q6C7D4",-0.322449981529012,0.925820656058346
"Q6C7B6",-0.210443460127881,0.938551500242363
"Q6C1P3",-0.211472208730877,0.806719222939005
"Q6BZV7",-0.211169619595308,0.876989619196969
"Q6BZT6",-0.48512671819204,0.867199910654737
"A0A1H6PTQ1",-0.194451278627266,0.829617275332214
"Q6CF51",0.258580181779726,0.864702168666884
"Q6CC80",0.129248609600638,0.970977050005544
"Q6C2K5",-0.291161120446843,0.864702168666884
"Q6CFB0",0.264011371215943,0.84257890689499
"Q6CF68",-0.0258735496271816,0.98733736134467
"Q6CEE2",0.0892631754136794,0.894338486890498
"Q6CEJ8",-0.0257948082029591,0.983257704601691
"Q6C0W6",-0.0652779504719468,0.954834421831372
"Q6C573",0.0403171682563842,0.876989619196969
"Q6C557",0.0615882566513357,0.98337979485115
"Q6C538",-0.0579675252242191,0.940609191467813
"Q6CGI3",-0.29897466237937,0.640297280721267
"Q6CGI7",-0.252330104581528,0.806719222939005
"Q6C5I9",-0.265732460836689,0.806719222939005
"Q6C5M6",-0.0090630368516162,0.977058808919675
"Q6C6U0",-0.250732934501304,0.876989619196969
"A0A1D8NLC3",-0.155755002070644,0.868002834263117
"Q6C3I4",-0.0970144374509306,0.864702168666884
"A0A371CAY6",-0.251570952047443,0.867199910654737
"Q6CFQ6",-0.162079323952279,0.815862060818887
"Q6CAB1",0.0497569647949038,0.981541862385284
"Q6CI00",-0.318980748736012,0.896479279512799
"Q6C2U5",-0.509648431998852,0.872104037149167
"Q6C828",-0.116612576018754,0.864702168666884
"Q6CB64",0.0653334930782283,0.963475842842056
"Q6C4L8",0.115544855938042,0.940609191467813
"Q6C4K8",-0.0749247023835339,0.968213019859876
"Q6CFN9",0.100152232479565,0.968213019859876
"Q6CES8",-0.323348709397388,0.806719222939005
"Q6CEQ8",0.247295632742207,0.867199910654737
"Q6CE30",-0.160043004242823,0.964216562732913
"Q6CE29",-0.0796720784825174,0.98337979485115
"Q6CE13",0.301573274622727,0.857379011488963
"Q6C290",-0.146963061812242,0.864702168666884
"Q6C278",-0.183539412312814,0.640297280721267
"Q6C0E7",-0.126266028444162,0.787919405133644
"Q6CG05",0.102699033974843,0.867199910654737
"Q6CAF5",0.0970179101986735,0.895915102266499
"Q6CAH4",0.00685551966179848,0.954834421831372
"Q6C9V4",-0.0903312407788548,0.895915102266499
"Q6C454",-0.0199971315973755,0.968213019859876
"A0A371C630",-0.179691781927213,0.876989619196969
"Q6C4N3",0.332614974228378,0.867199910654737
"Q6C4W9",0.39743934135004,0.940609191467813
"Q6CBW8",-0.0971175833629914,0.864702168666884
"Q6C1F2",0.393560435045031,0.864702168666884
"Q6C3C5",-0.243698104180895,0.810447353069755
"A0A1D8NPE3",-0.0818814658612481,0.867199910654737
"Q6C184",-0.279545512075114,0.748965544227683
"Q6C6E2",-0.0600128159868265,0.925820656058346
"Q6C9A4",0.0430368034054444,0.925820656058346
"Q6C178",0.035774963861199,0.988551337503638
"Q6CD23",0.723271381811101,0.716706292816822
"Q6CE89",-0.074102625383526,0.824363627393453
"Q6CAZ9",-0.596631821926659,0.868002834263117
"Q6CE52",-0.315784953667076,0.867199910654737
"Q6C1S4",-0.172709871044933,0.864702168666884
"Q6C3S2",-0.19299108946124,0.825367749113543
"Q6C8T5",0.0503307580611906,0.907717736216083
"Q6C8N1",0.0740808190681792,0.864702168666884
"Q6CCS2",0.0823686313403059,0.824363627393453
"Q6CAT7",-0.00596783963250713,0.988994871308283
"Q6CE73",-0.336796479428792,0.886753060794183
"A0A371C207",0.1538086784494,0.867199910654737
"Q6CAE0",0.187575552069892,0.867199910654737
"Q6CAD4",-0.241019201358897,0.868002834263117
"Q6C8A0",-0.334692942658749,0.867199910654737
"A0A371C1F1",0.0166067280697654,0.985933282974025
"Q6CBN7",-0.184609965253929,0.898262975559514
"Q6CA33",-0.183987167521798,0.864702168666884
"Q6CH27",-0.167747974870013,0.876989619196969
"Q6CHF1",0.0216546441893099,0.980963330021423
"Q6C9L7",-0.395512180541144,0.868002834263117
"Q6C5H0",-0.0924819504292336,0.864702168666884
"Q6C8R1",0.482508899271307,0.864702168666884
"Q6CH20",0.00957469157143873,0.988551337503638
"Q6CCA9",-0.195526248530225,0.864702168666884
"Q6C6X2",0.0523098504201823,0.883491440511527
"Q6C088",0.245610659432358,0.864702168666884
"A0A1D8NGH8",0.159410358940085,0.957484942740803
"Q6C395",-0.428863253787514,0.873495657948984
"Q6C391",-0.166115458698152,0.940609191467813
"Q6C388",0.177960792958618,0.886753060794183
"Q6C387",-0.13853372920043,0.886753060794183
"Q6C386",-0.0408269645821919,0.867329409999239
"Q6C385",0.342844746280341,0.876989619196969
"Q6C384",-0.0799320652637801,0.940609191467813
"Q6C383",-0.0949379684744088,0.864702168666884
"Q6C381",-0.192150576535035,0.868002834263117
"Q6C380",-0.477680207406454,0.864702168666884
"Q6C376",-0.0509065683968812,0.973698072311823
"Q6C375",0.0956110648645623,0.937204262486493
"B5RSK5",-0.0186075398750259,0.988994871308283
"Q6C374",-0.183674501718869,0.886753060794183
"Q6C372",0.0542031094215716,0.984288631735077
"Q6C368",-0.0933491606204114,0.867199910654737
"Q6C366",-0.346509821125669,0.925820656058346
"A0A1D8NLN1",0.128606353235587,0.968213019859876
"Q6C360",0.697848506794707,0.898262975559514
"Q6C356",-0.0524618577898698,0.876989619196969
"Q6C355",0.162568103417061,0.876989619196969
"Q6C350",0.0180513782314728,0.968213019859876
"A0A1D8NLR7",-0.158182732475355,0.894338486890498
"Q6C345",-0.855401238979173,0.867199910654737
"Q6C343",0.234942551533947,0.886753060794183
"Q6C342",0.205582074616477,0.716706292816822
"Q6C339",0.0325779507583736,0.956675858347815
"Q6C340",0.1018037954753,0.867199910654737
"Q6C337",-0.224866623396577,0.886753060794183
"Q6C336",-0.0407452738480102,0.938019255226819
"Q6C334",0.135390079649404,0.980963330021423
"Q6C330",-0.300181185471912,0.867199910654737
"Q6C325",0.0672320788189536,0.940609191467813
"A0A1H6PMJ2",-0.0736485674169778,0.947022601294731
"Q6C321",0.10041240427575,0.937204262486493
"Q6C319",0.364388282611973,0.894338486890498
"Q6C317",0.337755837701468,0.868002834263117
"Q6C316",-0.275305255787224,0.816472741701053
"Q6C2Z4",-0.126170414252755,0.867199910654737
"Q6C2Z1",-0.0500671999626317,0.979483092971223
"A0A371CG63",0.346024817072485,0.895009958741559
"Q6C2Y2",-0.277677346124361,0.824363627393453
"Q6C7K3",-0.315647423556406,0.940609191467813
"Q6C7K2",-0.0618948000792007,0.968213019859876
"Q6C7K1",-0.093478106231297,0.909864608911595
"Q6C7J9",-0.304683543912507,0.867199910654737
"Q6C7J4",-0.105778065493103,0.864702168666884
"Q6C7J2",0.204328768655105,0.854497255746662
"Q6C7J1",-0.276693186017129,0.888792424526761
"Q6CG71",0.114039933007617,0.871072125902231
"Q6C7I8",-0.175664828729943,0.810447353069755
"Q6C7I6",-0.0282683236484376,0.97674967889138
"Q6C7I4",0.227979133365793,0.864702168666884
"Q6C7I2",0.119874077452118,0.907717736216083
"Q6C7I1",0.013454379061809,0.985933282974025
"Q6C7H1",-0.0984120706317502,0.947022601294731
"A0A371CFI7",0.526240323368425,0.864702168666884
"Q6C7H0",-0.00617403566620746,0.98730682722525
"Q6C7G4",0.206357416218908,0.82619191487989
"F2Z650",0.221326241563651,0.820888902311329
"Q6C7G1",0.0181954478031259,0.925820656058346
"Q6C7F8",0.275569503200474,0.876989619196969
"Q6C7F5",0.58142350199825,0.862852601052252
"Q6C7F4",-0.000512796888413573,0.996474396793794
"Q6C7E6",0.142813242270272,0.909864608911595
"Q6C7E4",-0.13505296265377,0.864702168666884
"Q6C7E0",0.462971067253554,0.716706292816822
"Q6C7D9",-0.306695380410123,0.864702168666884
"Q6C7D8",-0.158919997855848,0.913007102336947
"Q6C7D5",0.192946711767759,0.943095365726383
"Q6C7D3",0.042589268735119,0.966816105449138
"Q6C7C5",0.220323655071663,0.864702168666884
"Q6C7B1",-0.0789936888461922,0.867199910654737
"Q6C7B0",-0.206693243501621,0.886753060794183
"Q6C7A9",0.152626015013275,0.864702168666884
"Q6C7A8",0.12955908387347,0.806719222939005
"Q6C7A3",-0.0797188701651535,0.864702168666884
"Q6C7A0",-0.0178310681111289,0.985263023783033
"Q6C796",0.1144946957251,0.867199910654737
"Q6C788",-0.0576577839115484,0.937204262486493
"Q6C782",-0.0172733434338896,0.988551337503638
"Q6C781",0.130079499748043,0.906908513580223
"Q6C780",-0.228860744110194,0.868002834263117
"Q6C778",0.342357406236895,0.864702168666884
"Q6C776",0.140413431468405,0.806719222939005
"Q6C773",-0.11285208413818,0.867199910654737
"Q6C1M6",0.115474544983703,0.940715235891271
"Q6C1M7",-0.0739568722037004,0.940715235891271
"Q6C1M9",0.366387228178141,0.876989619196969
"Q6C1N0",0.0170474213350665,0.988551337503638
"Q6C1N4",-0.0167240252029074,0.981541862385284
"Q6C1N7",0.0203433323682565,0.983416214682804
"Q6C1N8",0.485875785847912,0.867199910654737
"Q6C1N9",-0.147124436016205,0.925820656058346
"Q6C1Q0",-0.104715797428561,0.977118989327357
"Q6C1Q1",-0.074250486298258,0.888792424526761
"Q6C1Q2",-0.0024723232971301,0.996469811413611
"Q6C1Q3",0.350698126327283,0.876989619196969
"Q6C1Q4",-0.0491370723534048,0.940715235891271
"Q6C1Q6",-0.380383819423037,0.864702168666884
"Q6C1Q7",-0.0326648147330658,0.937204262486493
"Q6C1Q8",0.101597780580883,0.886753060794183
"Q6C1Q9",-0.0010288701188035,0.996617934157802
"Q6C1R0",-0.695969640112472,0.867199910654737
"Q6C1R3",0.336653883315372,0.864702168666884
"Q6C1R6",-0.221987012478634,0.864702168666884
"Q6C1R7",-0.185204048177386,0.820888902311329
"Q6C1R8",-0.0364914893656179,0.980963330021423
"Q6C1R9",-0.093453595369767,0.876989619196969
"Q6CDQ9",-0.425539232282612,0.864702168666884
"Q6CDR2",-0.0598125685430374,0.964216562732913
"Q6CDR3",-0.142255369316695,0.876989619196969
"Q6CDR6",-0.0700895071500607,0.940715235891271
"Q6CDS0",-0.0615150247060245,0.940609191467813
"Q6CDS3",-0.242135896506667,0.867199910654737
"Q6CDT5",-0.111383720025721,0.806719222939005
"Q6CDU0",0.0457543025694482,0.970424225215522
"Q6CDU1",-0.230690362496987,0.867199910654737
"Q6CDU5",-0.226061312464268,0.867199910654737
"Q6CDU7",0.163545481296356,0.864702168666884
"Q6CDU9",-0.414558652652505,0.867199910654737
"Q6CDV2",0.212558109414423,0.940609191467813
"Q6CDW2",0.265114554204228,0.808734780545773
"Q6CDW3",-0.389075340177089,0.876989619196969
"Q6CDW5",0.0738536795953991,0.940609191467813
"Q6CDW6",-0.927889836630927,0.820888902311329
"Q6C9G7",0.149049617253364,0.925820656058346
"Q6C9H1",-0.514533857731069,0.82619191487989
"A0A371CEU2",0.153068443869223,0.806719222939005
"B5FVE6",0.262082852705434,0.940609191467813
"Q6C9H7",0.0244736790062592,0.952502736508473
"Q6C9H9",0.0490383205650623,0.886753060794183
"Q6CG62",-0.136977898657485,0.895915102266499
"Q6C9I1",-0.0500839804796835,0.964216562732913
"Q6C9I3",0.0798810256940093,0.937204262486493
"Q6C9I9",-0.36943581248666,0.806719222939005
"Q6C9J0",0.195020994823987,0.867199910654737
"Q6C9J1",-0.238121758319105,0.867199910654737
"Q6C9J2",-0.680102931749734,0.864702168666884
"Q6C9J3",0.272522435184147,0.820888902311329
"Q6C9J5",0.542680674633886,0.887521232302452
"A0A1D8NE19",0.032575645822049,0.940609191467813
"Q6BZZ2",-0.395091052281623,0.864702168666884
"B5RSM3",0.459156304298194,0.815862060818887
"Q6BZY9",0.117450530578017,0.864702168666884
"Q6BZY7",-0.0936868358295736,0.940609191467813
"Q6BZY6",-0.338549889024972,0.867199910654737
"Q6BZY5",-0.135652187133802,0.876989619196969
"Q6BZY1",0.00336287818128626,0.988551337503638
"Q6BZX9",0.155434442205523,0.886753060794183
"Q6BZX6",-0.02999370996828,0.970977050005544
"Q6BZX3",-0.724752848070762,0.885704596231497
"Q6BZX2",-0.0160081881364994,0.968213019859876
"Q6BZX1",0.173622618911314,0.867199910654737
"Q6BZW7",-0.0258188879627937,0.988551337503638
"B5RSM6",0.483361251191939,0.864702168666884
"Q6BZW2",0.140204800355778,0.968213019859876
"Q6BZW1",-0.302766728130517,0.806719222939005
"Q6C244",0.482957667706207,0.867199910654737
"Q6BZW0",0.0290533495569802,0.940609191467813
"Q6BZV9",0.318196365112526,0.864702168666884
"Q6BZV8",0.269176452079557,0.748965544227683
"Q6BZV4",0.289621817897973,0.867199910654737
"A0A1D8NQL5",-0.432611535856262,0.716706292816822
"Q6BZV1",-0.113767199428196,0.940715235891271
"Q6BZU8",-0.102305496678943,0.806719222939005
"Q6BZU0",-0.0330066148056544,0.985933282974025
"Q6C5U0",1.53505468946768,0.806719222939005
"Q6C5U1",-0.207993015431286,0.864702168666884
"Q6C5U4",0.123655274317809,0.864702168666884
"Q6C5U7",0.200468288482518,0.876989619196969
"Q6C5V2",-0.0434175774497189,0.987101774950023
"A0A1D8NII9",-0.491044212828193,0.864702168666884
"Q6C5V5",-0.0102984755604709,0.995649782463431
"A0A1H6PU01",-0.00849591550792212,0.988551337503638
"Q6C5V8",0.0160734746345188,0.979483092971223
"Q6C5W0",0.686652430329069,0.820888902311329
"Q6C5W2",0.0557661576036175,0.968213019859876
"Q6C5W5",-0.00497233543184774,0.987134163527544
"Q6C5W6",-0.163929387884709,0.937204262486493
"Q6C5W7",0.178849678610457,0.806719222939005
"Q6C5X3",-0.20835031393115,0.854497255746662
"Q6C5X4",-0.211159486473404,0.868002834263117
"Q6C5X5",0.176615261548811,0.940715235891271
"Q6C5X8",0.181079353941783,0.867199910654737
"Q6C5X9",0.15052978679895,0.898262975559514
"Q6C5Y2",0.158476571823803,0.963816527435249
"A0A1D8NID4",-0.0392789534628509,0.964216562732913
"Q6C5Y4",0.199849427676057,0.867199910654737
"Q6C5Y5",-0.0060477797313373,0.988551337503638
"Q6C5Y6",-0.0499075759198889,0.968213019859876
"Q6C5Z1",-0.183846073740411,0.864702168666884
"Q6C5Z2",0.0216192900090857,0.93306301661672
"Q6C5Z3",-0.147863213451571,0.940609191467813
"Q6C5Z5",0.16619957078663,0.895915102266499
"Q6C5Z7",-0.21048254643694,0.831068757209765
"Q6C600",-0.15311583716686,0.956675858347815
"Q6C605",0.93061125283008,0.716706292816822
"Q6C607",-1.24464958410794,0.864702168666884
"Q6C608",0.229702100845619,0.864702168666884
"Q6C610",-0.110107976732727,0.878840106283741
"Q6C611",0.163844567399988,0.864702168666884
"Q6C614",0.0851067371928902,0.983257704601691
"Q6C615",-0.218464252619906,0.920902084892449
"Q6C617",-0.0969920979859445,0.886753060794183
"Q6C620",-0.0579773311885824,0.980963330021423
"Q6C621",0.154366884006691,0.876989619196969
"Q6C622",0.0961392811885153,0.937204262486493
"Q6C624",0.122329197685702,0.806719222939005
"Q6C625",-0.00886939711062683,0.991649173156167
"Q6C630",0.0432280301169509,0.975129139796569
"A0A1D8NI83",0.0746790742601746,0.968213019859876
"Q6CF65",0.149174994966562,0.869385262305509
"Q6CF63",0.232389181749071,0.909864608911595
"Q6CF62",0.257590751508883,0.810447353069755
"Q6CF61",-0.18155723112179,0.716706292816822
"Q6CF55",-0.856488586667775,0.864702168666884
"A0A371CEV4",0.22355378474213,0.940609191467813
"Q6CF46",-0.105057029552621,0.815862060818887
"Q6CF39",-0.191265113453648,0.864702168666884
"Q6CF37",0.0180030525259538,0.985933282974025
"Q6CF36",-0.0621368184741589,0.925820656058346
"Q6CF32",0.257045280224914,0.864702168666884
"Q6CF31",-0.251197192926512,0.864702168666884
"Q6CF30",0.0865141378965913,0.864702168666884
"Q6CF29",-0.636743195039766,0.913383515854003
"Q6CF28",0.226163066799059,0.864702168666884
"Q6CF23",-0.113132301003016,0.716706292816822
"Q6CF17",0.325504880758502,0.867199910654737
"W0TYP2",-0.271605141482866,0.864702168666884
"Q6CF09",-0.126184631860285,0.94843693427865
"Q6CF08",0.272336929958661,0.864702168666884
"Q6CF06",-0.167094456376738,0.862852601052252
"Q6CF05",0.16204185924597,0.864702168666884
