UniProt_Entry	SBY145e.1	SBY145e.2	SBY145e.3	SBY145n.1	SBY145n.2	SBY145n.3	SBY147e.1	SBY147e.2	SBY147e.3	SBY147n.1	SBY147n.2	SBY147n.3	SBY148e.1	SBY148e.2	SBY148e.3	SBY148n.1	SBY148n.2	SBY148n.3	SBY160e.1	SBY160e.2	SBY160e.3	SBY160n.1	SBY160n.2	SBY160n.3
Q6C0U9	0.00055383475751562	0.000552011660198968	0.000682046205510327	0.000602112121526821	0.000643589413776647	0.00079806222900841	0.000594760506925965	0.00057746652238412	0.000492441504264082	0.000679618785024722	0.000782490633309409	0.000600923819651124	0.000592588249501007	0.000542854297244631	0.000688764854344545	0.000894199765759879	0.000911220431920025	0.00086166380720895	0.000699988045858581	0.000504441914587582	0.000573583403241219	0.000772789796689532	0.000582556007443948	0.000709580274223008
Q6C0V2	0.0616020245404372	0.0610196648041178	0.0716414032432087	0.0425519797860523	0.0337393512854429	0.0354307310725279	0.071830228959986	0.0853579580702331	0.0811645631803965	0.0433476437437555	0.0367230237702492	0.0378728863785079	0.063418125765902	0.0751909898429955	0.0665298577394634	0.0458787081259144	0.0430958327281109	0.0405822609162168	0.0698044184100857	0.0728038651845505	0.0841441997640993	0.0502906348918016	0.0696090861281347	0.0431054245052856
F2Z694	0.183804123076464	0.164939540576327	0.171435922616164	0.102170457576349	0.058925089209477	0.081055851742356	0.109262929831505	0.104866372418776	0.0914530677248102	0.0599795851162967	0.0688492762667457	0.0553269390407548	0.206078569142846	0.182758056852195	0.16813072907907	0.0413163103732136	0.0736704929888611	0.0826984202198719	0.121144945322545	0.128279659484016	0.118100788523503	0.122263553321757	0.0944341481363802	0.185958274312968
F2Z5Z3	1.07082912755891	0.981618732357284	1.05740960552413	0.203774294432561	0.279424681224787	0.262741817105475	0.977316176362352	1.02474118583019	0.966594444320055	0.221908872076889	0.224432674702789	0.359508398588672	1.00720638106841	0.876893496006211	0.795059959962989	0.126859330062986	0.168040833673262	0.176633109230461	1.02914429638413	1.01349229147929	0.960902490564017	0.452844982681893	0.373907845774858	0.446241519270309
Q6CC11	0.00755301484793655	0.00764318602909264	0.00880173382008709	0.00608698789467016	0.0051754971482076	0.00598953543978607	0.00826387728958582	0.00819332966726347	0.00830803891273913	0.00593041805376376	0.00541600866662423	0.00482522160366745	0.00878611614480975	0.00829744130497893	0.0070731571297605	0.00527441542001168	0.00552469679928395	0.00553004947032717	0.00941249662706124	0.00920427643334708	0.00986095019927344	0.0064331953057595	0.00616026207620067	0.00568510948874689
Q6C3Z9	0.150102045934966	0.16385143173367	0.142513093556983	0.0665952713947989	0.0702980134866365	0.0543778915368898	0.13999062059719	0.148785368634508	0.183442381424043	0.0615881572088121	0.0599467532901826	0.0660864414285623	0.0987692644333651	0.11123751554702	0.108935967883829	0.0620721493993339	0.0593273976252909	0.0590111952740072	0.506569733232286	0.553818117778234	0.583264403583034	0.163839640937829	0.177568899240395	0.194535006682424
F2Z630	0.0176744908363103	0.0117790522665235	0.0110380604681772	0.00761414558603606	0.00916642164512132	0.00756453946374611	0.0139129930425907	0.0242582945810734	0.0107501955694024	0.0103116725258673	0.00777514098220229	0.00755411950225763	0.0172065594618742	0.0196944296658119	0.0190226770895212	NA	0.00542577713081169	0.00690562940835289	0.0109881104357974	0.011921076537993	0.0114988709765478	0.005553704380447	0.00889559720412591	0.00553451240781978
Q9UVF3	0.454120427987146	0.441725689224543	0.396573801532092	0.369821252891061	0.445736935208752	0.430960952301925	0.394327251757537	0.379412446126232	0.362111887602895	0.36789626066375	0.381155531282632	0.298641300591948	0.318382163223643	0.297846832499901	0.28759383516195	0.237444603469184	0.26163373794101	0.272882490207505	0.324049139286145	0.307043585323241	0.315906361327435	0.300534518966027	0.275404987755592	0.308755738328167
Q99148	0.168888170476716	0.181768101949429	0.196445597674368	0.0697343847768124	0.0770425296351394	0.0742378786304742	0.19595240302086	0.20484228328891	0.216835740798198	0.0682223616810259	0.0730189004308605	0.0886546046297394	0.233139808491294	0.22180202657746	0.239825678719466	0.0643719136596444	0.0737261000557659	0.0740150738751618	0.26165906799878	0.256210601867772	0.26324307634825	0.0767326306270455	0.0791380826375586	0.0803488221171594
F2Z678	0.0617295033492967	0.059718245530748	0.0635523338911852	0.0285314231347074	0.027959667679296	0.0273730185456613	0.0767535669202446	0.0891627782189856	0.0948224918308914	0.0332587579120112	0.0325863253938447	0.0353094358236405	0.125904406372195	0.125430181941816	0.117310784153112	0.0374060457857554	0.0419416487528803	0.0443668648300502	0.0247123406207909	0.0290257285612137	0.0307701690914012	0.0184768897349118	0.0166492349129367	0.022336548544232
